date,T_max_C,T_min_C,T_mean_C,RH_mean_pct,wind_2m_ms,Rs_MJm2day,precip_mm,ET0_OM_mm_day,precip_hours
2015-01-01,34.1,18.5,25.8,23,2.44,21.1,0.0,6.23,0.0
2015-01-02,34.3,19.9,26.5,24,2.74,21.34,0.0,6.49,0.0
2015-01-03,34.1,19.3,25.9,25,2.9,21.61,0.0,6.58,0.0
2015-01-04,32.8,19.6,25.3,22,3.07,21.8,0.0,6.82,0.0
2015-01-05,32.8,18.3,24.5,23,2.91,21.99,0.0,6.56,0.0
2015-01-06,32.8,16.8,24.2,24,2.33,22.11,0.0,6.04,0.0
2015-01-07,33.1,17.2,24.4,24,2.47,22.15,0.0,6.18,0.0
2015-01-08,33.7,17.0,24.9,27,2.32,22.06,0.0,6.01,0.0
2015-01-09,34.4,18.8,25.7,24,3.03,21.99,0.0,6.84,0.0
2015-01-10,32.6,19.1,24.8,19,3.27,22.4,0.0,7.08,0.0
2015-01-11,33.0,18.4,24.6,19,2.75,22.52,0.0,6.62,0.0
2015-01-12,32.0,17.7,23.9,19,2.94,22.64,0.0,6.75,0.0
2015-01-13,31.9,17.1,23.5,20,2.76,22.62,0.0,6.51,0.0
2015-01-14,33.7,16.9,24.6,21,2.28,22.65,0.0,6.15,0.0
2015-01-15,34.2,17.3,25.3,25,2.39,22.32,0.0,6.22,0.0
2015-01-16,34.9,17.3,25.9,26,2.19,22.19,0.0,6.11,0.0
2015-01-17,35.3,18.4,26.8,24,2.28,22.27,0.0,6.37,0.0
2015-01-18,36.1,19.6,27.4,20,2.27,22.37,0.0,6.54,0.0
2015-01-19,35.4,18.5,27.2,23,1.8,22.53,0.0,5.98,0.0
2015-01-20,35.8,17.4,26.9,28,1.41,22.56,0.0,5.49,0.0
2015-01-21,34.9,18.9,27.1,44,1.06,20.21,0.0,4.55,0.0
2015-01-22,35.6,22.1,28.3,47,2.01,20.57,0.0,5.5,0.0
2015-01-23,37.6,19.6,28.6,24,2.1,22.46,0.0,6.44,0.0
2015-01-24,37.0,18.4,28.1,25,1.91,22.71,0.0,6.15,0.0
2015-01-25,35.4,20.5,27.5,42,1.42,21.37,0.0,5.22,0.0
2015-01-26,34.8,22.1,28.2,47,1.9,20.49,0.0,5.32,0.0
2015-01-27,36.9,21.1,28.4,27,1.97,22.72,0.0,6.33,0.0
2015-01-28,36.5,19.6,28.0,21,2.59,23.02,0.0,7.04,0.0
2015-01-29,36.6,19.9,28.1,22,2.25,22.95,0.0,6.61,0.0
2015-01-30,36.1,19.0,27.9,36,1.27,22.21,0.0,5.33,0.0
2015-01-31,36.0,21.8,28.7,48,1.59,22.01,0.0,5.45,0.0
2015-02-01,37.1,22.7,29.5,42,1.74,21.57,0.0,5.72,0.0
2015-02-02,37.5,20.2,29.0,35,1.27,22.65,0.0,5.52,0.0
2015-02-03,37.0,21.5,29.1,45,1.71,20.1,0.0,5.21,0.0
2015-02-04,37.1,23.0,29.7,50,1.85,19.6,0.0,5.08,0.0
2015-02-05,37.4,24.2,30.2,51,1.95,20.33,0.0,5.37,0.0
2015-02-06,36.6,24.0,30.1,53,1.86,19.77,0.0,5.09,0.0
2015-02-07,36.5,24.6,30.1,52,1.92,20.31,0.0,5.29,0.0
2015-02-08,38.2,23.0,30.1,49,1.71,21.0,0.0,5.38,0.0
2015-02-09,37.3,23.9,30.1,53,2.07,21.38,0.0,5.51,0.0
2015-02-10,37.4,25.2,30.5,52,1.97,20.47,0.2,5.31,1.0
2015-02-11,36.5,25.2,29.9,58,2.12,19.18,0.0,4.99,0.0
2015-02-12,34.6,24.2,28.6,63,1.76,14.49,0.0,3.83,0.0
2015-02-13,36.9,23.7,29.7,53,1.84,21.23,0.0,5.3,0.0
2015-02-14,36.8,23.3,29.6,51,1.89,21.48,0.0,5.47,0.0
2015-02-15,36.5,24.3,29.7,56,2.18,20.56,0.0,5.32,0.0
2015-02-16,34.8,24.3,29.1,63,2.33,20.03,0.0,5.03,0.0
2015-02-17,35.7,24.4,29.5,58,1.65,20.47,0.0,4.96,0.0
2015-02-18,36.4,23.2,29.4,56,2.02,21.38,0.0,5.48,0.0
2015-02-19,35.2,24.7,27.6,72,2.16,18.62,7.4,4.36,5.0
2015-02-20,32.3,23.6,26.6,79,1.87,17.1,16.4,3.76,8.0
2015-02-21,31.9,22.5,25.8,84,1.31,17.7,10.7,3.73,13.0
2015-02-22,31.5,22.2,25.9,75,1.78,15.16,0.8,3.51,4.0
2015-02-23,33.5,22.0,27.2,50,2.71,21.01,0.0,5.76,0.0
2015-02-24,35.3,21.1,27.7,33,2.67,23.77,0.0,6.87,0.0
2015-02-25,35.5,20.7,27.9,35,2.15,23.9,0.0,6.43,0.0
2015-02-26,35.5,20.2,27.9,28,2.35,24.81,0.0,6.89,0.0
2015-02-27,34.8,18.2,26.5,28,2.89,24.45,0.0,7.14,0.0
2015-02-28,35.5,19.2,27.0,37,2.18,24.42,0.0,6.6,0.0
2015-03-01,36.0,19.8,27.8,20,2.98,25.35,0.0,7.88,0.0
2015-03-02,36.1,20.0,28.1,21,2.65,25.19,0.0,7.57,0.0
2015-03-03,35.9,19.7,28.0,25,2.11,23.35,0.0,6.53,0.0
2015-03-04,36.2,19.8,28.1,47,1.4,23.84,0.0,5.68,0.0
2015-03-05,36.6,23.2,29.6,49,1.56,23.64,0.0,5.83,0.0
2015-03-06,37.1,22.9,29.5,45,1.82,24.08,0.0,6.3,0.0
2015-03-07,37.3,21.3,29.1,41,1.51,24.59,0.0,6.07,0.0
2015-03-08,37.1,22.0,29.2,43,1.66,23.99,0.0,6.17,0.0
2015-03-09,36.9,21.1,28.9,40,2.02,24.04,0.0,6.51,0.0
2015-03-10,37.5,21.1,29.4,44,1.71,23.11,0.0,5.91,0.0
2015-03-11,37.9,23.4,29.9,51,1.91,23.22,0.0,5.87,0.0
2015-03-12,37.7,24.9,29.6,57,1.77,22.53,3.3,5.52,4.0
2015-03-13,33.9,24.3,28.1,69,1.97,19.85,0.9,4.69,3.0
2015-03-14,36.7,23.9,29.7,59,1.66,23.06,0.0,5.59,0.0
2015-03-15,37.3,24.5,30.2,55,2.08,23.56,0.0,5.98,0.0
2015-03-16,36.9,25.2,29.8,60,2.27,22.06,1.7,5.64,1.0
2015-03-17,34.5,25.3,28.1,74,2.35,18.96,13.2,4.49,7.0
2015-03-18,33.1,22.7,27.2,69,2.21,16.17,0.0,3.86,0.0
2015-03-19,35.7,23.6,29.0,63,1.59,22.04,0.0,5.17,0.0
2015-03-20,34.4,24.6,29.1,63,2.03,20.08,0.1,4.96,1.0
2015-03-21,34.6,24.6,28.0,72,2.08,20.41,10.0,4.72,5.0
2015-03-22,36.0,23.7,28.2,72,2.34,22.9,1.2,5.25,2.0
2015-03-23,34.7,24.4,28.7,70,2.34,21.8,0.2,5.11,1.0
2015-03-24,34.7,23.9,28.2,73,2.47,22.2,11.0,5.17,10.0
2015-03-25,30.5,22.9,26.2,82,1.84,13.48,2.6,2.98,7.0
2015-03-26,34.5,23.7,27.0,80,1.63,18.57,12.1,4.09,3.0
2015-03-27,32.4,23.8,27.2,78,2.24,19.03,1.0,4.26,4.0
2015-03-28,34.2,23.6,28.4,67,1.96,21.4,0.0,5.06,0.0
2015-03-29,34.1,23.4,28.5,62,2.33,23.52,0.0,5.66,0.0
2015-03-30,33.0,22.4,27.9,64,2.12,22.06,0.3,5.26,2.0
2015-03-31,31.8,23.6,26.7,74,1.87,17.92,5.2,4.06,3.0
2015-04-01,33.1,23.4,26.6,72,2.08,18.49,4.9,4.24,2.0
2015-04-02,30.6,22.8,26.3,67,1.14,10.07,0.0,2.51,0.0
2015-04-03,36.7,23.4,29.4,52,1.26,25.64,0.0,6.01,0.0
2015-04-04,34.7,23.4,28.2,63,1.96,22.09,0.3,5.33,1.0
2015-04-05,33.7,23.8,27.4,75,2.45,20.75,5.4,4.75,4.0
2015-04-06,34.1,22.9,26.4,82,1.94,18.03,7.5,3.96,7.0
2015-04-07,35.9,23.5,28.2,74,1.62,23.27,1.0,5.15,2.0
2015-04-08,33.5,23.6,27.6,75,2.19,17.72,0.5,4.09,3.0
2015-04-09,36.1,23.8,29.0,68,2.17,23.38,0.0,5.49,0.0
2015-04-10,33.9,23.6,28.3,68,2.3,20.45,0.0,4.86,0.0
2015-04-11,34.3,24.1,27.8,74,1.92,20.37,4.6,4.63,6.0
2015-04-12,33.6,23.6,27.5,76,1.54,20.31,1.1,4.42,3.0
2015-04-13,35.4,23.1,28.9,63,1.38,25.34,0.0,5.74,0.0
2015-04-14,36.5,23.0,29.1,43,1.51,27.05,0.0,6.42,0.0
2015-04-15,36.6,19.0,28.0,39,1.2,28.03,0.0,6.36,0.0
2015-04-16,35.6,20.8,28.2,47,1.41,26.97,0.0,6.28,0.0
2015-04-17,35.9,20.8,28.7,54,1.37,25.37,0.0,5.81,0.0
2015-04-18,34.9,23.4,29.1,58,1.61,22.73,0.0,5.43,0.0
2015-04-19,35.6,23.9,29.5,60,1.97,23.7,0.0,5.76,0.0
2015-04-20,36.7,24.5,30.0,60,1.96,24.22,0.0,5.79,0.0
2015-04-21,35.5,24.6,29.7,63,1.96,22.9,0.1,5.51,1.0
2015-04-22,35.4,24.8,29.3,67,2.17,23.76,1.2,5.61,2.0
2015-04-23,36.1,24.6,29.3,66,2.42,24.16,0.0,5.78,0.0
2015-04-24,36.6,24.6,29.9,62,2.18,23.72,0.0,5.82,0.0
2015-04-25,35.8,25.2,29.1,66,2.21,21.75,1.4,5.21,2.0
2015-04-26,36.6,25.0,29.8,60,2.29,22.9,0.0,5.78,0.0
2015-04-27,35.3,24.6,28.7,66,1.93,22.74,1.7,5.26,3.0
2015-04-28,35.6,24.3,28.8,66,2.11,23.0,0.8,5.41,1.0
2015-04-29,36.3,24.3,29.4,64,2.18,23.5,0.0,5.58,0.0
2015-04-30,35.7,24.9,29.8,63,2.29,22.79,0.1,5.62,1.0
2015-05-01,36.4,25.1,28.9,68,2.28,23.55,3.2,5.52,5.0
2015-05-02,36.6,24.6,28.6,71,2.05,23.6,4.9,5.39,3.0
2015-05-03,35.7,23.4,28.1,74,2.71,22.44,20.1,5.17,6.0
2015-05-04,32.8,23.0,26.6,83,2.48,18.18,13.9,4.0,12.0
2015-05-05,29.9,23.2,25.9,84,1.82,14.58,4.2,3.17,7.0
2015-05-06,34.2,23.5,28.0,72,1.59,21.43,0.5,4.77,2.0
2015-05-07,35.9,24.2,28.8,69,2.39,24.9,0.7,5.74,2.0
2015-05-08,35.4,24.4,28.6,71,2.61,23.26,2.5,5.41,4.0
2015-05-09,32.9,23.8,28.2,74,2.19,21.66,1.3,4.86,3.0
2015-05-10,31.9,24.3,27.5,77,2.48,22.02,2.8,4.8,7.0
2015-05-11,32.6,24.1,27.3,80,1.96,21.53,3.2,4.56,3.0
2015-05-12,33.1,24.3,27.7,80,1.76,21.89,7.1,4.69,9.0
2015-05-13,33.7,24.1,28.1,75,1.87,20.02,0.3,4.4,1.0
2015-05-14,33.8,24.8,28.0,75,2.13,20.87,6.8,4.68,4.0
2015-05-15,30.7,23.7,26.9,80,1.77,16.2,1.1,3.51,2.0
2015-05-16,34.0,23.3,27.8,71,1.43,18.25,0.7,4.27,2.0
2015-05-17,32.6,24.8,27.8,74,1.99,20.35,1.2,4.63,3.0
2015-05-18,33.9,24.3,28.1,75,2.25,20.39,0.1,4.65,1.0
2015-05-19,32.2,24.6,27.7,75,2.61,18.73,0.1,4.24,1.0
2015-05-20,32.5,24.3,28.1,76,1.74,21.37,0.7,4.67,3.0
2015-05-21,32.2,24.5,27.5,79,2.2,18.99,1.2,4.13,1.0
2015-05-22,32.7,24.1,27.8,77,1.84,19.77,0.5,4.34,3.0
2015-05-23,29.3,23.5,25.3,85,2.6,12.54,11.0,2.71,5.0
2015-05-24,32.7,23.2,27.1,76,2.34,22.11,0.5,4.81,1.0
2015-05-25,35.1,24.0,28.7,70,1.49,24.23,0.6,5.34,2.0
2015-05-26,33.9,24.4,28.5,73,2.57,21.2,0.4,4.9,2.0
2015-05-27,31.3,24.3,27.1,78,2.42,17.25,1.5,3.87,6.0
2015-05-28,31.4,23.0,26.3,80,2.07,16.78,2.5,3.67,3.0
2015-05-29,32.8,23.1,27.2,76,2.55,19.34,0.0,4.42,0.0
2015-05-30,32.6,23.7,27.4,74,2.18,19.08,0.2,4.29,1.0
2015-05-31,31.7,23.8,26.9,78,2.59,15.8,2.5,3.65,3.0
