date,T_max_C,T_min_C,T_mean_C,RH_mean_pct,wind_2m_ms,Rs_MJm2day,precip_mm,ET0_OM_mm_day,precip_hours
2015-01-01,31.7,24.5,27.5,68,2.57,21.77,0.0,5.01,0.0
2015-01-02,31.2,24.3,27.3,75,2.43,21.95,0.0,4.77,0.0
2015-01-03,30.3,24.7,27.2,79,2.1,19.59,0.4,4.16,2.0
2015-01-04,31.0,23.8,27.0,74,2.15,22.04,0.0,4.8,0.0
2015-01-05,31.4,22.4,26.4,57,2.3,22.86,0.0,5.41,0.0
2015-01-06,30.2,20.6,25.4,61,2.05,22.81,0.0,5.02,0.0
2015-01-07,30.8,20.5,25.8,70,1.91,22.59,0.0,4.85,0.0
2015-01-08,30.8,22.1,26.0,73,2.06,22.49,0.0,4.85,0.0
2015-01-09,31.1,21.1,25.9,67,2.53,22.61,0.0,5.2,0.0
2015-01-10,30.7,20.7,25.5,57,2.83,23.35,0.0,5.7,0.0
2015-01-11,30.8,20.7,25.5,51,2.82,23.36,0.0,5.83,0.0
2015-01-12,31.8,20.1,25.7,51,2.63,23.42,0.0,5.8,0.0
2015-01-13,31.2,20.4,25.3,50,3.11,23.82,0.0,6.08,0.0
2015-01-14,30.5,19.0,24.7,61,2.14,23.41,0.0,5.19,0.0
2015-01-15,30.5,20.1,24.9,70,2.16,22.87,0.0,4.91,0.0
2015-01-16,30.7,21.7,25.8,74,2.24,22.44,0.0,4.82,0.0
2015-01-17,31.2,23.5,26.6,79,2.8,22.09,0.0,4.73,0.0
2015-01-18,30.7,24.5,26.9,82,3.25,20.48,0.5,4.33,1.0
2015-01-19,31.6,25.3,27.4,81,3.54,20.4,0.2,4.44,1.0
2015-01-20,30.6,25.5,27.2,83,3.25,19.48,1.3,4.08,3.0
2015-01-21,30.8,25.6,27.5,81,2.94,20.21,0.4,4.28,1.0
2015-01-22,31.1,25.4,27.4,82,2.99,20.18,0.2,4.33,1.0
2015-01-23,32.0,25.7,27.9,81,3.71,20.91,0.0,4.61,0.0
2015-01-24,29.9,26.1,27.3,84,4.38,18.06,0.9,3.86,3.0
2015-01-25,30.2,25.8,27.2,83,4.18,18.22,2.0,3.92,2.0
2015-01-26,30.1,25.9,27.4,82,3.87,17.3,3.3,3.8,5.0
2015-01-27,31.0,25.6,27.7,82,3.87,20.34,1.3,4.42,1.0
2015-01-28,31.6,26.0,27.8,81,4.13,19.78,0.4,4.42,3.0
2015-01-29,30.3,26.2,27.7,82,4.39,19.77,0.7,4.34,2.0
2015-01-30,30.3,26.1,27.5,83,3.49,18.88,0.9,4.05,3.0
2015-01-31,30.7,25.8,27.3,83,3.45,18.7,6.7,3.98,3.0
2015-02-01,30.6,25.7,27.5,83,3.18,18.84,2.8,4.06,2.0
2015-02-02,30.6,25.9,27.6,83,4.09,17.93,0.5,4.0,1.0
2015-02-03,30.1,26.2,27.7,84,4.09,18.01,0.5,3.92,1.0
2015-02-04,30.5,26.2,27.7,84,3.88,18.83,0.5,4.04,2.0
2015-02-05,30.6,26.1,27.8,83,3.93,19.32,0.7,4.15,2.0
2015-02-06,30.5,26.2,27.8,83,4.1,19.78,0.5,4.26,3.0
2015-02-07,30.6,26.2,27.8,83,4.07,20.25,1.3,4.38,5.0
2015-02-08,30.4,26.4,28.0,82,4.26,19.2,1.2,4.23,2.0
2015-02-09,31.3,26.5,28.3,82,4.16,20.51,0.0,4.5,0.0
2015-02-10,31.1,26.5,28.3,82,3.61,19.93,0.3,4.38,2.0
2015-02-11,31.4,26.8,28.5,81,3.67,19.29,0.0,4.37,0.0
2015-02-12,30.7,26.3,27.9,81,4.42,17.11,4.0,4.0,4.0
2015-02-13,31.1,26.2,28.2,80,4.41,20.21,1.5,4.61,2.0
2015-02-14,30.2,26.6,27.9,82,4.19,17.85,1.0,4.0,6.0
2015-02-15,30.7,26.5,28.1,81,4.02,20.43,0.5,4.48,3.0
2015-02-16,31.1,26.4,28.3,80,4.02,19.92,0.5,4.49,2.0
2015-02-17,32.1,26.5,28.4,80,4.11,20.91,3.6,4.73,4.0
2015-02-18,29.0,26.1,27.4,82,4.59,15.54,3.8,3.54,10.0
2015-02-19,29.4,24.9,26.9,83,3.46,16.68,4.8,3.65,10.0
2015-02-20,30.6,25.4,27.6,81,3.16,20.96,1.3,4.46,3.0
2015-02-21,31.2,25.8,27.9,81,3.66,21.93,0.2,4.77,1.0
2015-02-22,30.5,24.6,27.2,83,2.9,20.05,5.5,4.28,7.0
2015-02-23,29.0,26.2,27.0,86,2.8,12.88,2.8,2.77,5.0
2015-02-24,30.4,25.7,27.6,84,2.31,19.8,0.1,4.18,1.0
2015-02-25,31.4,26.0,28.0,82,3.86,22.07,1.0,4.77,1.0
2015-02-26,31.6,26.2,28.1,81,4.31,22.46,0.2,4.91,1.0
2015-02-27,30.0,25.8,27.4,84,3.51,18.6,5.2,3.94,9.0
2015-02-28,30.7,26.0,27.8,81,2.49,21.39,2.1,4.58,3.0
2015-03-01,31.7,26.4,28.2,79,3.1,22.11,0.2,4.88,1.0
2015-03-02,31.5,26.4,28.2,81,3.55,22.84,0.0,4.96,0.0
2015-03-03,31.2,26.5,28.1,81,3.62,22.38,0.4,4.82,2.0
2015-03-04,29.9,26.5,27.7,83,3.14,18.95,1.9,3.96,8.0
2015-03-05,31.3,25.9,28.0,80,2.69,22.82,0.6,4.89,2.0
2015-03-06,31.2,26.6,28.4,82,3.48,21.72,1.2,4.71,3.0
2015-03-07,30.9,26.5,28.3,81,3.69,21.46,1.0,4.72,2.0
2015-03-08,31.2,26.3,28.3,81,4.14,22.15,0.0,4.87,0.0
2015-03-09,31.4,26.7,28.4,83,3.93,20.67,1.0,4.49,3.0
2015-03-10,31.6,26.9,28.4,83,4.3,20.52,0.9,4.48,4.0
2015-03-11,31.4,27.2,28.6,81,3.92,21.19,1.0,4.65,5.0
2015-03-12,31.2,27.0,28.7,81,3.51,20.91,0.3,4.64,1.0
2015-03-13,30.9,26.6,28.1,83,3.26,19.66,5.2,4.23,5.0
